song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy
You Showed Me,The Turtles,90,,90,1,416855f9-42b3-49d8-a27b-8e6ad4e0ecbf,not_danceable,jaz,male,not_aggressive,voice,91.157913208,C,0.521225094795,happy
If It Wasn't For Bad Luck,Ray Charles & Jimmy Lewis,92,,92,1,a4549591-4ff8-44b9-8b0a-df3b488fccce,danceable,jaz,male,not_aggressive,voice,106.313911438,A#,0.847557008266,happy
The Thought Of Loving You,The Crystal Mansion,95,95.0,95,3,5d015412-a8b0-475a-bed9-6aeb795dc7de,not_danceable,roc,female,not_aggressive,voice,125.300460815,C#,0.975334465504,happy
Things I'd Like To Say,New Colony Six,96,100.0,96,2,87ce3480-1dcc-4a5c-b0ac-f53ed2eaedce,not_danceable,pop,male,not_aggressive,voice,96.2837524414,D,0.87509483099,not_happy
I Can't Help It (If I'm Still In Love With You),Al Martino,97,99.0,97,2,6486ef1e-54e9-4eac-b263-8de6bd5deb33,not_danceable,rhy,male,not_aggressive,voice,95.6112289429,A#,0.805548071861,not_happy
Soulful Strut,Young-Holt Unlimited,4,4.0,4,7,8bd0e16b-aefd-4c7b-abd8-c98e1677b01c,not_danceable,rhy,male,not_aggressive,voice,89.6971130371,A#,0.872257351875,happy
For Once In My Life,Stevie Wonder,7,2.0,2,11,9efdb106-4dde-4df8-9483-e1bfd0093489,danceable,jaz,female,not_aggressive,voice,108.897949219,A#,0.827656745911,not_happy
I Love How You Love Me,Bobby Vinton,10,11.0,9,11,0d37948f-2c4b-490d-b65d-ce77f1585285,not_danceable,pop,male,not_aggressive,voice,152.832504272,A#,0.77354490757,happy
Going Up The Country,Canned Heat,12,15.0,12,6,18db6336-5bb7-4156-963c-9c9a71172821,not_danceable,rhy,female,not_aggressive,instrumental,162.41696167,A#,0.86390799284,happy
Touch Me,The Doors,18,37.0,18,3,e1f18237-dc4f-416c-aa47-abc33286f326,not_danceable,roc,female,not_aggressive,instrumental,110.891235352,F,0.760567486286,happy
A Ray Of Hope,The Rascals,24,32.0,24,6,35be801e-ad5d-4d2f-8c24-8e67cbea7507,not_danceable,roc,male,not_aggressive,voice,103.522621155,C,0.929937303066,not_happy
This Is My Country,The Impressions,25,25.0,25,7,990a43c0-2a0d-4030-a351-1c185919bb2d,not_danceable,cla,male,not_aggressive,voice,102.988349915,C#,0.477982550859,happy
Magic Carpet Ride,Steppenwolf,29,24.0,3,15,453ddc4d-f8c2-406b-a14a-43dab56da555,not_danceable,rhy,female,not_aggressive,instrumental,110.215385437,E,0.621582686901,not_happy
California Soul,The 5th Dimension,34,57.0,34,4,7e92a2b9-0231-421a-a17d-e9eac814758b,not_danceable,roc,male,not_aggressive,voice,98.9868011475,C,0.93959325552,not_happy
Papa's Got A Brand New Bag,Otis Redding,37,21.0,21,7,1085e03e-d132-48ac-8da2-27ec2d668a8c,danceable,hip,female,not_aggressive,voice,131.715423584,D#,0.746437251568,not_happy
Bring It On Home To Me,Eddie Floyd,40,19.0,17,13,9e3b83f3-1631-4d2d-beb0-7cf619ef3607,danceable,rhy,male,not_aggressive,voice,123.781219482,C,0.956165671349,happy
The Beginning Of My End,The Unifics,51,51.0,51,5,218bf907-d39d-4f9b-984e-404416b509a4,danceable,rhy,male,not_aggressive,voice,140.561233521,A#,0.803186058998,happy
Ramblin' Gamblin' Man,Bob Seger System,54,65.0,54,4,2d7bc711-ac32-4de2-978e-b2e4f9a679c2,danceable,pop,male,aggressive,instrumental,130.530319214,A,0.959428668022,happy
Rainbow Ride,Andy Kim,60,73.0,60,4,9bce7702-88ea-46c5-bc7e-fdd28c757c9f,danceable,roc,male,not_aggressive,voice,99.9254379272,C#,0.897945523262,happy
